url,source,country,status,finalUrl,redirected,probeMethod,contentLength,notes
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,db,CAN,TIMEOUT,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,false,HEAD,,This operation was aborted
https://canada.ca/en/employment-social-development/services/foreign-workers/global-talent.html,db,CAN,TIMEOUT,https://canada.ca/en/employment-social-development/services/foreign-workers/global-talent.html,false,HEAD,,This operation was aborted
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/provincial-nominees.html,db,CAN,TIMEOUT,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/provincial-nominees.html,false,HEAD,,This operation was aborted
https://www.mom.gov.sg/passes-and-permits/employment-pass,db,SGP,LIVE,https://www.mom.gov.sg/passes-and-permits/employment-pass,false,HEAD,60057,status=200
https://www.mom.gov.sg/passes-and-permits/s-pass,db,SGP,LIVE,https://www.mom.gov.sg/passes-and-permits/s-pass,false,HEAD,58583,status=200
https://www.mom.gov.sg/passes-and-permits/overseas-networks-expertise-pass,db,SGP,LIVE,https://www.mom.gov.sg/passes-and-permits/overseas-networks-expertise-pass,false,HEAD,57581,status=200
https://www.edb.gov.sg/en/incentives-and-programmes/incentives-and-facilitation-programmes/tech-pass.html,db,SGP,ERROR_4xx,https://www.edb.gov.sg/en/incentives-and-programmes/incentives-and-facilitation-programmes/tech-pass.html,false,HEAD,,status=403
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,false,HEAD,153633,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/specialist-skills-stream,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/specialist-skills-stream,false,HEAD,153992,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/labour-agreement-stream,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/labour-agreement-stream,false,HEAD,20,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-independent-189/points-tested,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-independent-189/points-tested,false,HEAD,144833,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-independent-189/hong-kong,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-independent-189/hong-kong,false,HEAD,20,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-nominated-190,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-nominated-190,false,HEAD,20,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/direct-entry-stream,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/direct-entry-stream,false,HEAD,146164,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/temporary-residence-transition-stream,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/temporary-residence-transition-stream,false,HEAD,20,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/labour-agreement-stream,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/labour-agreement-stream,false,HEAD,20,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/national-innovation-visa-858,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/national-innovation-visa-858,false,HEAD,145322,status=200
https://www.immd.gov.hk/eng/services/visas/quality_migrant_admission_scheme.html,db,HKG,LIVE,https://www.immd.gov.hk/eng/services/visas/quality_migrant_admission_scheme.html,false,HEAD,10873,status=200
https://www.immd.gov.hk/eng/services/visas/TTPS.html,db,HKG,LIVE,https://www.immd.gov.hk/eng/services/visas/TTPS.html,false,HEAD,15804,status=200
https://www.immd.gov.hk/eng/services/visas/GEP.html,db,HKG,LIVE,https://www.immd.gov.hk/eng/services/visas/GEP.html,false,HEAD,10706,status=200
https://www.itc.gov.hk/en/techtas/index.htm,db,HKG,LIVE,https://www.itc.gov.hk/en/techtas/index.htm,false,HEAD,,status=200
https://www.gov.uk/skilled-worker-visa,db,GBR,LIVE,https://www.gov.uk/skilled-worker-visa,false,HEAD,27975,status=200
https://www.gov.uk/global-talent,db,GBR,LIVE,https://www.gov.uk/global-talent,false,HEAD,18004,status=200
https://www.gov.uk/high-potential-individual-visa,db,GBR,LIVE,https://www.gov.uk/high-potential-individual-visa,false,HEAD,19836,status=200
https://www.gov.uk/innovator-founder-visa,db,GBR,LIVE,https://www.gov.uk/innovator-founder-visa,false,HEAD,19743,status=200
https://www.imd.org/centers/wcc/world-competitiveness-center/rankings/world-talent-ranking/,registry,__global__,LIVE,https://www.imd.org/centers/wcc/world-competitiveness-center/rankings/world-talent-ranking/,false,HEAD,,status=200
https://www.servicesaustralia.gov.au/medicare,registry,AUS,LIVE,https://www.servicesaustralia.gov.au/medicare,false,HEAD,,status=200
https://www.ato.gov.au/individuals-and-families/coming-to-australia-or-going-overseas/your-tax-residency,registry,AUS,LIVE,https://www.ato.gov.au/individuals-and-families/coming-to-australia-or-going-overseas/your-tax-residency,false,HEAD,85665,status=200
https://www.ato.gov.au/individuals-and-families/coming-to-australia-or-going-overseas/your-tax-residency/foreign-and-temporary-residents,registry,AUS,LIVE,https://www.ato.gov.au/individuals-and-families/coming-to-australia-or-going-overseas/your-tax-residency/foreign-and-temporary-residents,false,HEAD,20,status=200
https://immi.homeaffairs.gov.au/citizenship/become-a-citizen/permanent-resident,registry,AUS,LIVE,https://immi.homeaffairs.gov.au/citizenship/become-a-citizen/permanent-resident,false,HEAD,20,status=200
https://immi.homeaffairs.gov.au/visas/already-have-a-visa/check-visa-details-and-conditions/see-your-visa-conditions?product=482,registry,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/already-have-a-visa/check-visa-details-and-conditions/see-your-visa-conditions?product=482,false,HEAD,20,status=200
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/eligibility/federal-skilled-workers.html,registry,CAN,TIMEOUT,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/eligibility/federal-skilled-workers.html,false,HEAD,,This operation was aborted
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html,registry,CAN,TIMEOUT,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html,false,HEAD,,This operation was aborted
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/apply-permanent-residence/fees.html,registry,CAN,TIMEOUT,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/apply-permanent-residence/fees.html,false,HEAD,,This operation was aborted
https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/new-life-canada/health-care-card.html,registry,CAN,TIMEOUT,https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/new-life-canada/health-care-card.html,false,HEAD,,This operation was aborted
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/become-canadian-citizen/eligibility.html,registry,CAN,TIMEOUT,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/become-canadian-citizen/eligibility.html,false,HEAD,,This operation was aborted
https://www.gov.uk/skilled-worker-visa/your-job,registry,GBR,LIVE,https://www.gov.uk/skilled-worker-visa/your-job,false,HEAD,14361,status=200
https://www.gov.uk/skilled-worker-visa/fees,registry,GBR,LIVE,https://www.gov.uk/skilled-worker-visa,true,HEAD,27975,status=200
https://www.gov.uk/skilled-worker-visa/family-members,registry,GBR,LIVE,https://www.gov.uk/skilled-worker-visa,true,HEAD,27975,status=200
https://www.gov.uk/indefinite-leave-to-remain/skilled-worker-visa,registry,GBR,LIVE,https://www.gov.uk/indefinite-leave-to-remain,true,HEAD,12243,status=200
https://www.gov.uk/british-citizenship,registry,GBR,LIVE,https://www.gov.uk/british-citizenship,false,HEAD,12528,status=200
https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,registry,SGP,LIVE,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,false,HEAD,64350,status=200
https://www.mom.gov.sg/passes-and-permits/s-pass/bringing-your-family-to-singapore,registry,SGP,GONE,https://www.mom.gov.sg/passes-and-permits/s-pass/bringing-your-family-to-singapore,false,HEAD,11107,status=404
https://www.mom.gov.sg/passes-and-permits/s-pass/quota-and-levy,registry,SGP,LIVE,https://www.mom.gov.sg/passes-and-permits/s-pass/quota-and-levy,false,HEAD,49227,status=200
https://www.iras.gov.sg/taxes/individual-income-tax/basics-of-individual-income-tax/tax-residency-and-tax-rates/individual-income-tax-rates,registry,SGP,LIVE,https://www.iras.gov.sg/taxes/individual-income-tax/basics-of-individual-income-tax/tax-residency-and-tax-rates/individual-income-tax-rates,false,HEAD,,status=200
https://www.ica.gov.sg/reside/PR/apply,registry,SGP,LIVE,https://www.ica.gov.sg/reside/PR/apply,false,HEAD,,status=200
https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/medisave,registry,SGP,LIVE,https://www.moh.gov.sg/managing-expenses/schemes-and-subsidies/medisave/,true,HEAD,509198,status=200
https://www.moe.gov.sg/primary/admissions/register-for-primary-1,registry,SGP,GONE,https://www.moe.gov.sg/primary/admissions/register-for-primary-1,false,HEAD,58432,status=404
